time_tick,lac_X_value,lac_Y_value,lac_Z_value,turn,success,hoop
30.403595,-0.007549,0.268206,0.198948,5,1,1
30.438293,0.12256,-0.160504,1.260653,5,1,1
30.468017,0.093736,-0.982611,0.986289,5,1,1
30.502746,0.127702,-0.311398,0.738559,5,1,1
30.537414,-0.49777,-0.796982,0.195204,5,1,1
30.572143,-0.516073,-0.522071,0.078984,5,1,1
30.601867,-0.489413,-0.223062,0.09977,5,1,1
30.636566,-0.999928,-0.324381,0.163745,5,1,1
30.671295,-0.827327,-0.526381,0.369787,5,1,1
30.705963,-0.530435,-0.074671,0.101555,5,1,1
30.735717,-0.830769,0.014617,0.48655,5,1,1
30.770416,-0.491833,0.259724,0.149422,5,1,1
30.805114,-0.490659,0.205832,0.217585,5,1,1
30.834838,-0.499507,0.450119,0.08217,5,1,1
30.869567,-0.20253,0.500334,0.04695,5,1,1
30.904266,-0.436239,1.051843,0.267926,5,1,1
30.93399,0.017411,1.08443,-0.204951,5,1,1
30.968719,0.518129,0.836104,-0.33097,5,1,1
31.003387,0.793275,1.191506,-0.475983,5,1,1
31.038116,1.056356,1.103104,0.455038,5,1,1
31.07277,-0.55986,0.554562,-0.140879,5,1,1
31.102525,-0.508168,0.228425,-0.900901,5,1,1
31.137254,-0.689376,0.028045,-1.300485,5,1,1
31.171922,-0.240699,-0.124929,-1.077071,5,1,1
31.201676,-0.356958,0.224834,-0.867507,5,1,1
31.236375,-0.667864,-0.345774,-1.017737,5,1,1
31.271073,-0.37574,-0.432324,-0.481071,5,1,1
31.300797,-0.7469,-0.003014,-0.259095,5,1,1
31.335526,-1.061523,0.229008,-0.29942,5,1,1
31.370225,-1.213102,0.013668,-0.113886,5,1,1
31.404923,-1.519078,-0.721964,-0.728307,5,1,1
31.439622,-0.68224,-1.874108,-0.382511,5,1,1
31.469346,-0.586135,-2.074207,-0.33171,5,1,1
31.504075,0.435246,-2.758064,0.244993,5,1,1
31.538743,0.572423,-1.83557,0.249476,5,1,1
