time_tick,lac_X_value,lac_Y_value,lac_Z_value,Turn,Success
48.396472,-0.12987,0.244318,-0.514757,7,0
48.431201,-0.047499,0.01896,-0.327888,7,0
48.465869,-0.092114,-0.076768,-0.275325,7,0
48.495623,0.066374,-0.097982,-0.299763,7,0
48.530352,0.178048,-0.219833,-0.168553,7,0
48.56502,0.231684,-0.247231,-0.091745,7,0
48.594775,0.424656,-0.114962,-0.050759,7,0
48.629474,0.231563,-0.379605,0.127655,7,0
48.664172,0.030274,-0.380822,0.120124,7,0
48.693927,0.002951,0.004158,-0.052463,7,0
48.728617,-0.388872,-0.236215,0.035252,7,0
48.763316,-0.66715,-0.11182,-0.061174,7,0
48.79307,-0.591414,0.01815,0.082458,7,0
48.827769,-0.735225,0.038918,-0.003089,7,0
48.862467,-0.676645,0.2856,0.094617,7,0
48.897196,-0.487182,0.287432,0.037364,7,0
48.931864,-0.644886,0.278052,-0.265852,7,0
48.961619,-0.730037,0.207289,-0.350348,7,0
48.996348,-0.678604,0.213994,-0.413188,7,0
49.031016,-0.686856,0.363982,-0.5597,7,0
49.06077,-0.747074,0.007107,-0.628523,7,0
49.0955,-0.47959,-0.025161,-0.556244,8,0
49.130167,-0.317998,-0.203303,-0.256389,8,0
49.164895,-0.160441,0.206889,0.179568,8,0
49.194651,0.078411,-0.033524,0.480182,8,0
49.229319,-0.343818,-0.194499,0.302386,8,0
49.264048,-0.122221,-0.467332,-0.620338,8,0
49.298747,0.258657,-1.02508,-0.55945,8,0
49.328471,1.095885,-0.871114,0.134209,8,0
49.3632,1.35812,-0.174229,0.17079,8,0
49.397898,0.818215,-0.624285,-0.353906,8,0
49.427622,0.2486,-0.890139,-0.431518,8,0
49.462351,0.270793,-0.782617,-0.626136,8,0
49.497018,0.97501,-0.476649,-0.462829,8,0
49.526774,1.411398,-0.101612,0.348336,8,0
49.561503,1.537188,0.106325,-0.611827,8,0
49.596171,1.253105,-0.649695,-1.06745,8,0
49.6309,2.842552,-0.537112,-1.488917,8,0
49.665598,8.272143,-2.011198,-1.179511,8,0
49.695323,13.090752,-4.553244,2.096448,8,0
49.730041,3.14408,-2.368809,3.817222,8,0
49.764739,-3.498396,-0.746431,-4.954658,8,0
49.794463,-5.325915,-0.792058,-4.341095,8,0
49.829192,-0.347795,-0.01248,-1.966017,8,0
49.863891,1.909452,-0.766832,-0.749385,8,0
49.893615,2.984523,-0.427155,0.451821,8,0
49.928344,-1.298858,-1.619889,-0.119503,8,0
49.963042,-2.040277,-0.68948,-0.401885,8,0
49.997741,-1.70795,-0.946601,-0.148059,8,0
50.027495,-0.538078,-0.015448,0.166453,8,0
50.062194,-1.324549,-0.000196,-0.89125,8,0
50.096892,-1.468396,1.109987,-2.490697,8,0
50.131591,-1.632565,1.048648,-1.738451,8,0
50.161345,-2.844058,0.808519,-0.803555,8,0
50.196044,-2.241366,1.601571,-1.174186,8,0
50.230742,-1.167814,0.755085,0.81997,8,0
50.260497,-1.701065,-0.17705,1.446102,8,0
50.295196,-3.399729,0.039662,2.13866,8,0
50.329894,-3.291114,0.067962,1.360415,8,0
50.364593,-1.269341,0.168058,-0.363785,8,0
50.394347,-0.634748,-0.56148,-0.14725,8,0
50.429046,0.752713,0.141762,-0.217155,8,0
50.463744,0.292296,0.019047,-0.909203,8,0
50.498443,0.833144,0.651329,-0.138873,8,0
50.528197,2.422819,-0.033093,-0.386831,8,0
50.562896,1.540071,-1.276507,-0.215436,8,0
50.597594,0.201821,-0.746231,-0.117385,8,0
50.627349,-1.054975,-0.244057,-0.35644,8,0
50.662047,-1.389879,0.239744,-0.177805,8,0
50.696746,0.040273,0.424039,-0.230097,8,0
50.72648,0.370855,0.2081,-0.881058,8,0
50.761179,0.717964,0.035002,-1.211876,8,0
50.795877,0.484263,-0.045626,-0.544686,8,0
50.830606,0.111712,-0.307191,0.285883,8,0
50.865274,0.21862,-0.335076,0.04665,8,0
50.895029,0.224377,-0.181518,0.073447,8,0
50.929758,-0.316525,0.061871,-0.138938,8,0
50.964426,-0.694949,-0.203997,0.224228,8,0
50.994181,-0.437065,-0.160137,0.304225,8,0
51.02891,-0.25478,-0.066824,0.060252,8,0
51.063578,-0.126789,0.115532,0.070078,8,0
51.093332,-0.121719,-0.624393,0.250606,8,0
51.128061,-0.055165,-0.241845,0.617426,8,0
51.162729,-0.496241,0.116027,-0.28313,8,0
51.197458,-0.026318,-0.016299,-0.735393,8,0
51.227213,0.903164,0.191973,-0.474093,8,0
51.261881,1.188294,0.085688,-0.386313,8,0
